
[*] b 766.250000 91.250000 1000.000000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.691717, VMf: 14691.717000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Zoe_St, VMi: 10.299347, VMf: 10299.347000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zircon_Pl, VMi: 13.405735, VMf: 13405.735000
Aresta no percurso em Largura Zeno_Pl, VMi: 10.478697, VMf: 10478.697000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zanowitz_St, VMi: 13.764305, VMf: 13764.305000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 11.367095, VMf: 11367.095000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.594649, VMf: 13594.649000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura Perimetral_Sul, VMi: 18.000000, VMf: 18000.000000
Aresta no percurso em Largura Praca_Central, VMi: 11.000000, VMf: 11000.000000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Young_St, VMi: 14.802950, VMf: 14802.950000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Zoe_St, VMi: 10.299347, VMf: 10299.347000
Aresta no percurso em Largura Yosemite_Ave, VMi: 6.940380, VMf: 6940.380000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zircon_Pl, VMi: 13.405735, VMf: 13405.735000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zanowitz_St, VMi: 13.764305, VMf: 13764.305000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Zampa_Ln, VMi: 13.594649, VMf: 13594.649000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Perimetral_Sul, VMi: 18.000000, VMf: 18000.000000
Aresta no percurso em Largura Praca_Central, VMi: 11.000000, VMf: 11000.000000
Aresta no percurso em Largura Young_Ct, VMi: 7.330631, VMf: 7330.631000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Young_St, VMi: 14.570954, VMf: 14570.954000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Zoo_Rd, VMi: 13.361850, VMf: 13361.850000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Zeno_Pl, VMi: 11.645644, VMf: 11645.644000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.016998, VMf: 14016.998000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 9.407006, VMf: 9407.006000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.430430, VMf: 14430.430000
Aresta no percurso em Largura Yukon_St, VMi: 11.197269, VMf: 11197.269000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.334519, VMf: 14334.519000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura Zoo_Rd, VMi: 13.491467, VMf: 13491.467000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Praca_Central, VMi: 11.000000, VMf: 11000.000000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Young_St, VMi: 14.570954, VMf: 14570.954000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Zoo_Rd, VMi: 13.361850, VMf: 13361.850000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.016998, VMf: 14016.998000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.430430, VMf: 14430.430000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
Aresta no percurso em Largura Zampa_Ln, VMi: 14.334519, VMf: 14334.519000
Aresta no percurso em Largura Young_Ct, VMi: 8.664420, VMf: 8664.420000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Dr_Tom_Waddell_Pl, VMi: 15.000000, VMf: 15000.000000
Aresta no percurso em Largura Perimetral_Leste, VMi: 16.000000, VMf: 16000.000000
Aresta no percurso em Largura Yukon_St, VMi: 8.826330, VMf: 8826.330000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Young_St, VMi: 14.528840, VMf: 14528.840000
Aresta no percurso em Largura Al_Scoma_Way, VMi: 7.386963, VMf: 7386.963000
Aresta no percurso em Largura Zircon_Pl, VMi: 14.002431, VMf: 14002.431000
Aresta no percurso em Largura ., VMi: 13.500000, VMf: 13500.000000
Aresta no percurso em Largura Yorba_St, VMi: 6.512681, VMf: 6512.681000
Aresta no percurso em Largura Zoo_Rd, VMi: 14.815920, VMf: 14815.920000
Aresta no percurso em Largura ., VMi: 12.000000, VMf: 12000.000000
Aresta no percurso em Largura Zoe_St, VMi: 10.924831, VMf: 10924.831000
Aresta no percurso em Largura Yerba_Buena_Ln, VMi: 8.253049, VMf: 8253.049000
Aresta no percurso em Largura Yerba_Buena_Ave, VMi: 4.110953, VMf: 4110.953000
Aresta no percurso em Largura Zircon_Pl, VMi: 13.549497, VMf: 13549.497000
Aresta no percurso em Largura Zeno_Pl, VMi: 13.365507, VMf: 13365.507000
Aresta no percurso em Largura Yacht_Rd, VMi: 4.563110, VMf: 4563.110000
Aresta no percurso em Largura Wyman_Ave, VMi: 2.703855, VMf: 2703.855000
Aresta no percurso em Largura Zanowitz_St, VMi: 14.597270, VMf: 14597.270000
Aresta no percurso em Largura Zanowitz_Ave, VMi: 9.238094, VMf: 9238.094000
Aresta no percurso em Largura Wright_Loop, VMi: 5.986043, VMf: 5986.043000
